bhk,area,region,status,price_in_USD,house_type,new
1,730,Ambernath West,1,39912.0,0,1
1,790,Ambernath West,1,43200.0,0,1
1,790,Ambernath West,1,43200.0,0,1
2,950,Ambernath West,1,53988.0,0,1
2,950,Ambernath West,1,53988.0,0,1
2,1063,Ambernath West,1,60408.0,0,1
2,1063,Ambernath West,1,60408.0,0,1
2,1057,Ambernath West,1,60060.0,0,1
2,1057,Ambernath West,1,60060.0,0,1
2,1008,Ambernath West,1,57276.0,0,1
2,1008,Ambernath West,1,57276.0,0,1
2,1070,Ambernath West,1,60804.0,0,1
2,1070,Ambernath West,1,60804.0,0,1
1,812,Ambernath West,1,44400.0,0,1
1,812,Ambernath West,1,44400.0,0,1
2,1012,Ambernath West,1,57504.0,0,1
2,1012,Ambernath West,1,57504.0,0,1
1,501,Ambernath West,0,35400.0,0,1
1,399,Ambernath West,0,29400.0,0,1
1,440,Ambernath West,0,31800.0,0,1
2,635,Ambernath West,0,43800.0,0,1
2,569,Ambernath West,0,39600.0,0,1
1,464,Ambernath West,0,33000.0,0,1
1,422,Ambernath West,0,31200.0,0,1
2,989,Ambernath West,0,44400.0,0,0
2,935,Ambernath West,0,53400.0,0,0
1,665,Ambernath West,0,33420.0,0,0
2,960,Ambernath West,0,48000.0,0,0
2,941,Ambernath West,1,46800.0,0,1
1,700,Ambernath West,0,30000.0,0,0
1,670,Ambernath West,1,33600.0,0,1
2,867,Ambernath West,0,46680.0,0,1
1,604,Ambernath West,0,28800.0,0,1
1,670,Ambernath West,1,31200.0,0,1
1,730,Ambernath West,0,38400.0,0,1
2,950,Ambernath West,0,45600.0,0,0
1,490,Ambernath West,1,32400.0,0,1
1,650,Ambernath West,1,30000.0,0,1
2,980,Ambernath West,0,54000.0,0,1
1,396,Ambernath West,0,24000.0,0,1
2,839,Ambernath West,0,39072.0,0,1
1,610,Ambernath West,0,35400.0,0,1
1,610,Ambernath West,0,35760.0,0,1
1,390,Ambernath West,0,23520.000000000004,0,1
