bhk,type,locality,area,price,price_unit,region,status,age,price_in_USD
1,0,8100,685,36.37,L,205,1,Resale,43643.99999999999
2,0,3563,870,95.0,L,117,0,Resale,114000.0
3,0,3130,1665,1.99,Cr,117,0,Resale,238800.0
2,0,3563,1050,90.0,L,117,0,Resale,108000.0
1,0,3209,756,77.0,L,117,0,Resale,92400.0
1,0,3209,785,76.0,L,117,0,Resale,91200.0
2,0,1653,860,38.7,L,136,0,Resale,46440.00000000001
1,0,216,600,30.0,L,91,0,Resale,36000.0
1,3,2068,380,14.0,L,136,0,Resale,16800.0
1,0,995,600,18.0,L,104,1,Resale,21600.0
2,0,390,581,1.25,Cr,56,1,Resale,150000.0
2,0,3130,810,1.18,Cr,117,0,Resale,141600.0
3,0,3130,1200,1.85,Cr,117,0,Resale,222000.0
2,0,3563,856,79.0,L,117,0,Resale,94800.0
2,0,3563,856,80.0,L,117,0,Resale,96000.0
1,0,1209,629,55.0,L,41,0,Resale,66000.0
1,0,1209,620,56.0,L,41,0,Resale,67200.0
2,0,1209,850,78.0,L,41,0,Resale,93600.0
2,0,1209,850,79.0,L,41,0,Resale,94800.0
2,0,3130,1350,2.15,Cr,117,0,Resale,258000.0
2,0,3563,1070,95.0,L,117,0,Resale,114000.0
2,0,3209,789,98.0,L,117,0,Resale,117600.0
1,0,3563,659,59.0,L,117,0,Resale,70800.0
2,0,3209,789,98.0,L,117,0,Resale,117600.0
1,0,3563,659,59.0,L,117,0,Resale,70800.0
1,0,3563,656,61.0,L,117,0,Resale,73200.0
2,0,3563,850,78.0,L,117,0,Resale,93600.0
2,0,3130,825,1.1,Cr,117,0,Resale,132000.0
1,3,2068,380,14.0,L,136,0,Resale,16800.0
1,0,995,600,18.0,L,104,1,Resale,21600.0
1,0,216,600,30.0,L,91,0,Resale,36000.0
1,0,8994,650,45.5,L,47,1,Resale,54600.0
3,0,526,1555,2.56,Cr,208,1,Resale,307200.0
2,0,548,1125,1.0,Cr,91,1,Resale,120000.0
2,0,7919,1233,2.75,Cr,108,0,Resale,330000.0
2,3,2563,415,95.0,L,59,0,Resale,114000.0
2,0,6156,430,1.25,Cr,8,0,Resale,150000.0
2,0,4770,1070,81.0,L,198,0,Resale,97200.0
1,3,3880,335,17.5,L,205,1,Resale,21000.0
1,0,3880,535,27.21,L,205,0,Resale,32652.0
3,0,5327,1180,4.75,Cr,40,0,Resale,570000.0
2,0,782,1090,1.8,Cr,79,0,Resale,216000.0
2,0,3209,850,1.15,Cr,117,0,Resale,138000.0
1,1,9376,701,30.99,L,136,1,New,37188.0
1,1,9376,701,30.99,L,136,1,New,37188.0
3,0,2882,1525,3.25,Cr,31,0,Resale,390000.0
2,0,5499,965,85.0,L,20,0,Resale,102000.0
3,0,1696,1300,2.3,Cr,147,0,Resale,276000.0
4,0,1772,2500,4.4,Cr,80,1,Resale,528000.0
1,0,2875,655,50.0,L,76,0,Resale,60000.0
2,0,2045,950,3.4,Cr,104,0,Resale,408000.0
1,0,2941,560,21.0,L,131,0,Resale,25200.0
3,0,2470,939,2.58,Cr,120,1,Resale,309600.0
2,0,9718,941,37.0,L,75,0,Resale,44400.0
3,0,1848,905,2.75,Cr,147,1,New,330000.0
3,0,1848,905,2.75,Cr,147,1,New,330000.0
3,0,1848,905,2.75,Cr,147,1,New,330000.0
3,0,1848,905,2.75,Cr,147,1,New,330000.0
3,0,1848,944,2.86,Cr,147,1,New,343200.0
3,0,1848,944,2.86,Cr,147,1,New,343200.0
2,0,1848,611,1.75,Cr,147,1,New,210000.0
2,0,1848,611,1.75,Cr,147,1,New,210000.0
2,0,1848,615,1.76,Cr,147,1,New,211200.0
2,0,1848,615,1.76,Cr,147,1,New,211200.0
1,0,9303,575,23.79,L,84,1,New,28548.0
2,0,9303,735,32.42,L,84,1,New,38904.0
2,0,9303,840,37.06,L,84,1,New,44472.0
1,0,9303,540,22.34,L,84,1,New,26808.0
1,0,9303,460,19.03,L,84,1,New,22836.0
1,0,9303,490,20.27,L,84,1,New,24324.0
2,0,9303,795,35.07,L,84,1,New,42084.0
1,0,9303,530,21.93,L,84,1,New,26316.0
1,0,9303,595,24.62,L,84,1,New,29544.0
2,0,9303,755,33.31,L,84,1,New,39972.0
1,0,9303,435,18.0,L,84,1,New,21600.0
2,0,9303,680,30.0,L,84,1,New,36000.0
2,0,9303,715,31.54,L,84,1,New,37848.0
2,0,9303,780,34.41,L,84,1,New,41291.99999999999
2,0,8683,645,1.92,Cr,62,1,New,230400.0
2,0,8683,645,1.92,Cr,62,1,New,230400.0
3,0,8683,902,2.59,Cr,62,1,New,310800.0
